Run_ID,Test_Start,Station_ID,Serial_Number,Test_Socket,Test_Status,Test_Time_Sec,Step_Name,Data
2,2021-11-10T15:00:30.000Z,BRM-DQ1VH63,352C0000,-1,Passed,545,Apply DUT Power,0.328
3,2021-11-11T03:55:27.000Z,BRM-DQ1VH63,352C3129,-1,Failed,538,Apply DUT Power,0.102
4,2021-11-11T04:04:53.000Z,BRM-DQ1VH63,352C3129,-1,Passed,534,Apply DUT Power,0.348
5,2021-11-11T04:16:34.000Z,BRM-DQ1VH63,352C3134,-1,Passed,551,Apply DUT Power,0.108
8,2021-11-11T04:41:02.000Z,BRM-DQ1VH63,352C3132,-1,Passed,525,Apply DUT Power,0.016
9,2021-11-11T05:06:29.000Z,BRM-DQ1VH63,352C3125,-1,Passed,656,Apply DUT Power,0.109
10,2021-11-11T05:17:39.000Z,BRM-DQ1VH63,352C3125,-1,Passed,666,Apply DUT Power,0.094
11,2021-11-11T05:35:20.000Z,BRM-DQ1VH63,352C3135,-1,Passed,524,Apply DUT Power,0.391
13,2021-11-11T05:49:10.000Z,BRM-DQ1VH63,352C3133,-1,Passed,569,Apply DUT Power,0.34
14,2021-11-11T06:00:42.000Z,BRM-DQ1VH63,352C3122,-1,Failed,517,Apply DUT Power,0.105
15,2021-11-11T06:10:16.000Z,BRM-DQ1VH63,352C3122,-1,Failed,484,Apply DUT Power,0.109
16,2021-11-11T06:51:24.000Z,BRM-DQ1VH63,352C3139,-1,Failed,985,Apply DUT Power,0.016
18,2021-11-11T14:40:41.000Z,BRM-DQ1VH63,352C0001,-1,Passed,481,Apply DUT Power,0.031
19,2021-11-12T14:48:55.000Z,BRM-DQ1VH63,352C3137,-1,Passed,672,Apply DUT Power,0.031
20,2021-11-12T15:26:55.000Z,BRM-DQ1VH63,352C3138,-1,Passed,585,Apply DUT Power,0.031
21,2021-11-12T15:54:12.000Z,BRM-DQ1VH63,352C3122,-1,Failed,679,Apply DUT Power,0.031
22,2021-11-12T16:07:35.000Z,BRM-DQ1VH63,352C3139,-1,Passed,456,Apply DUT Power,0.031
23,2021-11-12T16:36:53.000Z,BRM-DQ1VH63,352C3136,-1,Passed,558,Apply DUT Power,0.032
24,2021-11-12T16:48:12.000Z,BRM-DQ1VH63,352C3122,-1,Failed,464,Apply DUT Power,0.031
25,2021-11-12T18:04:03.000Z,BRM-DQ1VH63,352C3122,-1,Passed,530,Apply DUT Power,0.032
26,2021-11-12T18:32:32.000Z,BRM-DQ1VH63,352C3140,-1,Passed,512,Apply DUT Power,0.031
27,2021-11-12T18:44:07.000Z,BRM-DQ1VH63,352C3141,-1,Passed,828,Apply DUT Power,0.032
28,2021-11-12T19:02:25.000Z,BRM-DQ1VH63,352C3142,-1,Passed,510,Apply DUT Power,0.031
30,2021-11-12T19:32:11.000Z,BRM-DQ1VH63,352C3111,-1,Passed,2313,Apply DUT Power,0.031
31,2021-11-15T15:56:21.000Z,BRM-DQ1VH63,352C3112,-1,Passed,464,Apply DUT Power,0.031
32,2021-11-15T16:10:45.000Z,BRM-DQ1VH63,352C3113,-1,Passed,426,Apply DUT Power,0.031
33,2021-11-15T16:20:25.000Z,BRM-DQ1VH63,352C3114,-1,Passed,423,Apply DUT Power,0.031
34,2021-11-15T16:33:42.000Z,BRM-DQ1VH63,352C3115,-1,Passed,559,Apply DUT Power,0.031
35,2021-11-15T16:44:32.000Z,BRM-DQ1VH63,352C3116,-1,Passed,416,Apply DUT Power,0.031
36,2021-11-15T17:48:54.000Z,BRM-DQ1VH63,352C3117,-1,Passed,439,Apply DUT Power,0.032
37,2021-11-15T17:56:46.000Z,BRM-DQ1VH63,352C3119,-1,Passed,421,Apply DUT Power,0.031
38,2021-11-15T18:07:53.000Z,BRM-DQ1VH63,352C3118,-1,Failed,673,Apply DUT Power,0.031
39,2021-11-15T18:19:45.000Z,BRM-DQ1VH63,352C3120,-1,Passed,440,Apply DUT Power,0.031
40,2021-11-15T19:14:16.000Z,BRM-DQ1VH63,352C3143,-1,Passed,445,Apply DUT Power,0.031
41,2021-11-15T20:07:07.000Z,BRM-DQ1VH63,352C3118,-1,Failed,751,Apply DUT Power,0.031
43,2021-11-15T20:24:31.000Z,BRM-DQ1VH63,352C3118,-1,Failed,728,Apply DUT Power,0.031
44,2021-11-15T21:22:40.000Z,BRM-DQ1VH63,352C3118,-1,Passed,444,Apply DUT Power,0.032
45,2021-11-15T21:57:09.000Z,BRM-DQ1VH63,352C3144,-1,Passed,571,Apply DUT Power,0.031
46,2021-11-16T20:56:33.000Z,BRM-DQ1VH63,352C3147,-1,Passed,472,Apply DUT Power,0.032
47,2021-11-16T21:10:04.000Z,BRM-DQ1VH63,352C3145,-1,Passed,612,Apply DUT Power,0.031
48,2021-11-16T21:20:56.000Z,BRM-DQ1VH63,352C3146,-1,Passed,447,Apply DUT Power,0.031
49,2021-11-16T22:04:44.000Z,BRM-DQ1VH63,352C3148,-1,Passed,593,Apply DUT Power,0.031
50,2021-11-16T22:16:16.000Z,BRM-DQ1VH63,352C3149,-1,Passed,498,Apply DUT Power,0.031
51,2021-11-18T12:47:51.000Z,BRM-DQ1VH63,352C3042,-1,Passed,735,Apply DUT Power,0.032
52,2021-11-18T13:02:11.000Z,BRM-DQ1VH63,352C3047,-1,Passed,485,Apply DUT Power,0.031
53,2021-11-18T14:45:12.000Z,BRM-DQ1VH63,352C3150,-1,Passed,412,Apply DUT Power,0.032
56,2021-11-18T15:12:38.000Z,BRM-DQ1VH63,352C3153,-1,Passed,410,Apply DUT Power,0.031
57,2021-11-18T15:20:04.000Z,BRM-DQ1VH63,352C3154,-1,Passed,438,Apply DUT Power,0.031
58,2021-11-18T15:28:34.000Z,BRM-DQ1VH63,352C3155,-1,Passed,401,Apply DUT Power,0.031
